AdminID,StreamKind,livestatus,schedule_str,starttime_str,Platform,StreamID,otherAdminIDs,StreamTitle
CVHLHL2018110800,Live,upcoming,2024-03-25T10:00:00Z,,Youtube,EW-fDatcTW4,,【ファン募集企画】くっ…静まれ…俺の封印されし、暗黒の力！【＃ホロの休日_仮】
CVHLHL2018110800,video,finished,2024-03-20T12:01:00Z,2024-03-20T12:01:00Z,Youtube,t7YvECMEuA4,CVHLHL2018060101:CVHLHL2018120600:CVHLHL2020112603:CVHLHL2020112602:CVHLHL2019080102:CVHLHL2018080800,【ミーム】THE BEST OF 😍 #hololive #ホロライブ #宝鐘マリン #湊あくあ #白上フブキ
CVHLHL2018110800,Live,finished,2024-03-20T11:00:00Z,2024-03-20T11:00:07Z,Youtube,Ta2Qjhn0zlI,CVHLHL2018110800,【 MV 】ピパポ☆ピピプ 【 宝鐘マリン/白上フブキ 】
CVHLHL2018110800,Live,finished,2024-03-19T09:00:00Z,2024-03-19T09:00:07Z,Youtube,15RCSxQeuxU,CVHLHL2017090700:CVHLHL2018030400:CVHLHL2018082000:CVHLHL2022040100:CVHLHL2019040600:CVHLHL2019080101:CVHLHL2020080600:CVHLHL2020080601:CVHLHL2020080604:CVHLHL2020112601:CVHLHL2020112602,【新ボイス発表】看病してくれる
CVHLHL2018110800,video,finished,2024-03-18T10:00:56Z,2024-03-18T10:00:56Z,Youtube,yeKVdt29y3E,CVHLHL2018060101:CVHLHL2018080800:CVHLHL2020120101:CVHLHL2021081701:CVHLHL2019040600:CVHLHL2021081703:CVHLHL2018030400:CVHLHL2019120100,マタタビに惑わされる猫又おかゆ #ホロぐら #ホロライブ #hololive #猫又おかゆ #湊あくあ
CVHLHL2017090700,Live,finished,2024-03-21T13:00:00Z,2024-03-21T13:02:36Z,Youtube,KCVru3gWTgE,,【UNDERTALE】もうすぐ終盤なんじゃない？【ホロライブ/ときのそら】
CVHLHL2017090700,Live,finished,2024-03-20T05:00:00Z,2024-03-20T05:02:41Z,Youtube,ch_06pivXsI,,【ネタバレあり】昼間にまったり牧場生活～牧場物語 再会のミネラルタウン～【ホロライブ/ときのそら】
CVHLHL2017090700,video,finished,2024-03-18T03:00:08Z,2024-03-18T03:00:08Z,Youtube,EIm2qEJZckg,,【スタースタースタート】ノリノリになろう！！～1番サビ～【ときのそら】#shorts
CVHLHL2017090700,Live,finished,2024-03-17T14:00:00Z,2024-03-17T14:01:58Z,Youtube,TAwRLOxuWBo,,【#hololivefesexpo24】みんなありがとう！感想会【ホロライブ/ときのそら】
CVHLHL2017090700,video,finished,2024-03-15T03:00:15Z,2024-03-15T03:00:15Z,Youtube,VCWxFHqla5s,,【スタースタースタート】ノリノリになろう！！～1番Aメロ～【ときのそら】#shorts
CVHLHL2022040100,Live,finished,2024-03-21T13:00:00Z,2024-03-21T13:00:40Z,Youtube,_V8DQYv01XA,,【縦型歌枠】卒業ソング歌います🌸Singing Stream【ホロライブ / AZKi】#shorts
CVHLHL2022040100,video,finished,2024-03-21T03:00:27Z,2024-03-21T03:00:27Z,Youtube,vvfNFoo08_4,,#海の幽霊 # #AZKi #歌ってみた #cover #米津玄師 #海獣の子供 #shorts #ホロライブ  #vtuber
CVHLHL2022040100,Live,finished,2024-03-20T10:00:00Z,2024-03-20T10:00:06Z,Youtube,GcNLMLKT8yw,,海の幽霊 / AZKi (Cover)
