AdminID,StreamKind,livestatus,schedule_str,starttime_str,Platform,StreamID,otherAdminIDs,StreamTitle
CVHLPR2016061300,video,finished,2021-01-10T05:18:42Z,2021-01-10T05:18:42Z,Youtube,4h9opriUmu0,,Hello everyone!
CVHLPR2016061300,video,finished,2021-01-05T02:25:21Z,2021-01-05T02:25:21Z,Youtube,al5NBxSRKjU,,VR live streaming system
CVHLPR2016061300,video,finished,2021-01-04T06:59:08Z,2021-01-04T06:59:08Z,Youtube,BRw-oL37ICA,,VR table tennis game
CVHLPR2016061300,video,finished,2021-01-03T00:04:13Z,2021-01-03T00:04:13Z,Youtube,YXAcNfkApzg,,Shinkawa Office
CVHLPR2016061300,Live,finished,2016-06-14T05:40:00Z,2016-06-14T05:57:01Z,Youtube,RywY1WbpbTs,,Shibuya office2
CVHLHL2018110800,Live,finished,2025-03-09T01:00:00Z,2025-03-09T01:00:07Z,Youtube,LL7V8ZLQQyc,,【 #hololivefesEXPO25_DAY2 】hololive SUPER EXPO 2025 EXPO STAGE
CVHLHL2018110800,video,finished,2025-03-09T13:00:50Z,2025-03-09T13:00:50Z,Youtube,eCuvClLuidM,CVHLHL2017090700:CVHLHL2018120600:CVHLHL2021070700:CVHLHL2022032400:CVHLHL2023090404,【アニメ】大変なものが映ってるぞ！！！
CVHLHL2018110800,Live,finished,2025-03-09T09:00:00Z,2025-03-09T09:00:22Z,Youtube,3OkprzHcirU,,【#hololivefesEXPO25_DAY2】hololive 6th fes. Color Rise Harmony hololive STAGE3【チラ見せ】
CVHLHL2018110800,Live,finished,2025-03-09T03:30:00Z,2025-03-09T03:30:38Z,Youtube,wCblx1C_j68,,【#hololivefesEXPO25_DAY2】hololive 6th fes. Color Rise Harmony CREATORS' STAGE【チラ見せ】
CVHLHL2018110800,Live,finished,2025-03-08T09:00:00Z,2025-03-08T09:00:31Z,Youtube,4C3kreEOk1Q,,【#hololivefesEXPO25_DAY1】hololive 6th fes. Color Rise Harmony hololive STAGE2【チラ見せ】
CVHLHL2017090700,Live,upcoming,2025-03-10T12:00:00Z,,Youtube,UYlNn2F817I,,【hololive 6th fes.EXPO 応援会場】そらとものみんなー！応援席だよ。【ホロライブ/ときのそら】#hololivefesEXPO25
CVHLHL2017090700,video,finished,2025-03-07T09:00:27Z,2025-03-07T09:00:27Z,Youtube,RT8oF_nxO1c,,【#shorts 】ブルーバード【cover/歌ってみた/ときのそら/ホロライブ】
CVHLHL2017090700,Live,finished,2025-03-05T09:30:00Z,2025-03-05T09:33:42Z,Youtube,vqoE48K_b6s,,【重大告知】ついにあの時間が蘇る！？オリ曲歌枠あり【ホロライブ/ときのそら】
CVHLHL2017090700,Live,finished,2025-03-03T12:00:00Z,2025-03-03T11:58:40Z,Youtube,5xeKXN6pPiw,,【Minecraft】のんびり木こりお散歩、それからインフラ【ホロライブ/ときのそら】
CVHLHL2017090700,Live,finished,2025-03-02T05:00:00Z,2025-03-02T04:59:23Z,Youtube,fDyrA0uuhSY,,【ネタバレあり】ロマンシングで進めるロマンシング サガ2 リベンジオブザセブン～8～【ホロライブ/ときのそら】
CVHLHL2018030400,Live,finished,2025-03-09T22:00:00Z,2025-03-09T22:01:53Z,Youtube,lbjGlvzHCnU,CVHLHL2018110800,【hololive 6th fes. ＆ EXPO】幻のDAY3ｗ朝から高性能ロボ子さんの振り返り打ち上げカラオケにご招待🎤【ホロライブ/ロボ子さん】
CVHLHL2018030400,video,finished,2025-03-09T13:01:19Z,2025-03-09T13:01:19Z,Youtube,yvVox-A3mAo,,Fes衣装でビビデバ 踊ってみた #hololive #hololivefesEXPO25_DAY2 #ホロライブ  #dance #ロボ子さん #hololive  #shorts
CVHLHL2018030400,Live,finished,2025-03-07T03:00:00Z,2025-03-07T03:00:23Z,Youtube,eQGx0Lf3BDc,CVHLHL2018110800,【SING/歌】FES前にテンションあげて歌ってこ～～！！【ホロライブ/ロボ子さん】
CVHLHL2018030400,video,finished,2025-03-07T01:35:49Z,2025-03-07T01:35:49Z,Youtube,L_hcxkMOQZ0,,ボクは 最上級に可愛いの！可愛い？ #dance  #hololive  #vtuber  #shorts #推し活
CVHLHL2018030400,Live,upcoming,2027-03-20T12:20:00Z,,Youtube,IlYErJ1ry_8,CVHLHL2018110800,【ＭＥＭＢＥＲ】メンバーろぼさー掲示板⚡⚡⚡
CVHLHL2018122500,Live,finished,2025-03-09T14:45:00Z,2025-03-09T14:47:26Z,Youtube,VzGNuQHy5rk,CVHLHL2018110800,【振り返り】最高の２日間をありがとう！！！！！🌸 #hololivefesEXPO25【ホロライブ/さくらみこ】
CVHLHL2018122500,Live,finished,2025-03-07T13:00:00Z,2025-03-07T13:02:13Z,Youtube,Np1QRYBnZpk,CVHLHL2018110800,【 モンハンワイルズ 】キャラクリからやっていくぞおおおおおおおおお‼🔥【ホロライブ/さくらみこ】
CVHLHL2018122500,video,finished,2025-03-07T03:00:48Z,2025-03-07T03:00:48Z,Youtube,tgRSNK5lHJc,,シンデレラのようにドレス姿に変身…！？🎬👗#さくらみこ生誕祭 #vtuber #shorts
CVHLHL2018122500,Live,finished,2025-03-06T13:00:00Z,2025-03-06T13:06:11Z,Youtube,P_ruwUTuS0g,CVHLHL2018110800,【 #さくらみこ生誕祭 】振り返りとちょっとしたお披露目もする！！🌸【ホロライブ/さくらみこ】
CVHLHL2018122500,Live,finished,2025-03-05T12:00:00Z,2025-03-05T12:01:46Z,Youtube,PlC7enNzbgE,CVHLHL2022040100:CVHLHL2023072605:CVHLHL2018091600:CVHLHL2018081700:CVHLHL2018090300:CVHLHL2020080600:CVHLHL2020080601:CVHLHL2019080102:CVHLHL2018060101:CVHLHL2018110800,【 3D LIVE 】ゲスト多数 &告知あり！さくらみこ生誕祭2025 " Re:member colors " 🌸【 #さくらみこ生誕祭 】
CVHLHL2019120100,Live,finished,2025-03-03T10:00:00Z,2025-03-03T10:01:28Z,Youtube,wRnwjqmgwEA,,【テトリス99】テトリスキャラだったことを覚えているだろうか【ホロライブ / 星街すいせい】
CVHLHL2019120100,video,finished,2025-03-03T09:00:37Z,2025-03-03T09:00:37Z,Youtube,VgvxUD5R-d4,,『AWAKE』踊ってみた！スマホでカメラワーク真似してみてね📸 #新星目録 #AWAKE
CVHLHL2019120100,video,finished,2025-03-02T09:00:15Z,2025-03-02T09:00:15Z,Youtube,Gs_i77sIwi0,,『AWAKE』を振付師の荒木ｾﾝｾｲと踊ってみた！！！ #新星目録 #AWAKE
CVHLHL2019120100,video,finished,2025-03-01T09:30:19Z,2025-03-01T09:30:19Z,Youtube,kQlUimLGdNE,,#星街すいせい 武道館ライブから「comet -TAKU INOUE Remix-」アーカイブ配信は3/1 (土) 23:59まで！#かけめぐるほしまち
